city,year,donations,population
Seoul,2005,760596,10011324
Busan,2005,214551,3586087
Daegu/GyungBook,2005,195029,5158051
Incheon,2005,132426,2578356
Gyeonggi,2005,139991,10612455
Gangwon,2005,84507,1488365
Chungbook,2005,77356,1484191
Daejon/Sejong/Chungnam,2005,162539,3386798
Jeonbuk,2005,120915,1816566
Gwangju/Junnam,2005,175015,3296011
Gyeonggnam,2005,100623,3108192
Ulsan,2005,79090,1070014
Jeju,2005,31698,541667
Seoul,2006,793327,10020123
Busan,2006,213811,3554003
Daegu/GyungBook,2006,190002,5132158
Incheon,2006,123896,2596317
Gyeonggi,2006,143177,10822060
Gangwon,2006,77459,1479284
Chungbook,2006,79003,1484406
Daejon/Sejong/Chungnam,2006,147671,3404904
Jeonbuk,2006,118604,1796572
Gwangju/Junnam,2006,200843,3272471
Gyeonggnam,2006,102643,3117016
Ulsan,2006,82309,1074516
Jeju,2006,29797,543354
Seoul,2007,747542,10025669
Busan,2007,190408,3525220
Daegu/GyungBook,2007,158320,5104874
Incheon,2007,113310,2612866
Gyeonggi,2007,130461,11039291
Gangwon,2007,65018,1470447
Chungbook,2007,72803,1483401
Daejon/Sejong/Chungnam,2007,148281,3422910
Jeonbuk,2007,98174,1770698
Gwangju/Junnam,2007,178569,3251711
Gyeonggnam,2007,91776,3124921
Ulsan,2007,65550,1079825
Jeju,2007,27550,544536
Seoul,2008,838492,10031719
Busan,2008,210650,3497649
Daegu/GyungBook,2008,188625,5077459
Incheon,2008,124019,2629253
Gyeonggi,2008,142566,11247899
Gangwon,2008,73491,1461318
Chungbook,2008,84955,1482127
Daejon/Sejong/Chungnam,2008,175573,3440232
Jeonbuk,2008,107833,1746492
Gwangju/Junnam,2008,194960,3231003
Gyeonggnam,2008,102066,3131353
Ulsan,2008,71377,1084815
Jeju,2008,32577,545468
Seoul,2009,924605,10036377
Busan,2009,217109,3471154
Daegu/GyungBook,2009,216160,5050050
Incheon,2009,132576,2645189
Gyeonggi,2009,165455,11446877
Gangwon,2009,80058,1452148
Chungbook,2009,99447,1480661
Daejon/Sejong/Chungnam,2009,185884,3457175
Jeonbuk,2009,121245,1724035
Gwangju/Junnam,2009,201929,3210638
Gyeonggnam,2009,114553,3136682
Ulsan,2009,73999,1089451
Jeju,2009,36934,546256
Seoul,2010,954551,10038916
Busan,2010,233701,3445562
Daegu/GyungBook,2010,213828,5022566
Incheon,2010,154954,2660610
Gyeonggi,2010,171747,11636673
Gangwon,2010,83792,1442929
Chungbook,2010,101209,1478998
Daejon/Sejong/Chungnam,2010,194976,3473607
Jeonbuk,2010,124784,1702960
Gwangju/Junnam,2010,198530,3190343
Gyeonggnam,2010,119537,3140817
Ulsan,2010,74354,1093657
Jeju,2010,38529,546901
Seoul,2011,918763,10038905
Busan,2011,217110,3420679
Daegu/GyungBook,2011,212001,4994844
Incheon,2011,175120,2675476
Gyeonggi,2011,176920,11817528
Gangwon,2011,92295,1433625
Chungbook,2011,91354,1477089
Daejon/Sejong/Chungnam,2011,192337,3489418
Jeonbuk,2011,125506,1682992
Gwangju/Junnam,2011,192993,3169844
Gyeonggnam,2011,114324,3143687
Ulsan,2011,73605,1097354
Jeju,2011,34247,547392
Seoul,2012,964923,9975881
Busan,2012,218927,3444827
Daegu/GyungBook,2012,227200,5119644
Incheon,2012,173630,2793288
Gyeonggi,2012,175999,11936855
Gangwon,2012,108305,1502880
Chungbook,2012,100097,1550851
Daejon/Sejong/Chungnam,2012,208438,3671696
Jeonbuk,2012,127924,1804627
Gwangju/Junnam,2012,185833,3281790
Gyeonggnam,2012,120286,3247262
Ulsan,2012,79177,1116138
Jeju,2012,31869,558702
Seoul,2013,1036438,9991064
Busan,2013,230966,3430473
Daegu/GyungBook,2013,244949,5113686
Incheon,2013,178018,2816025
Gyeonggi,2013,191485,12080585
Gangwon,2013,120455,1504986
Chungbook,2013,98145,1561471
Daejon/Sejong/Chungnam,2013,226335,3694231
Jeonbuk,2013,131428,1803230
Gwangju/Junnam,2013,205824,3280184
Gyeonggnam,2013,134771,3263050
Ulsan,2013,81363,1120444
Jeju,2013,34306,560240
Seoul,2014,1085001,9890661
Busan,2014,235854,3411930
Daegu/GyungBook,2014,263853,5100342
Incheon,2014,185952,2858348
Gyeonggi,2014,206531,12280678
Gangwon,2014,128006,1501041
Chungbook,2014,100191,1558912
Daejon/Sejong/Chungnam,2014,234571,3758307
Jeonbuk,2014,125427,1797031
Gwangju/Junnam,2014,217887,3274332
Gyeonggnam,2014,143116,3273079
Ulsan,2014,89644,1138225
Jeju,2014,37392,581069
Seoul,2015,1062324,9860372
Busan,2015,238050,3400069
Daegu/GyungBook,2015,260314,5096612
Incheon,2015,181013,2886172
Gyeonggi,2015,218945,12397902
Gangwon,2015,149795,1506142
Chungbook,2015,99627,1560784
Daejon/Sejong/Chungnam,2015,251975,3822454
Jeonbuk,2015,128878,1798234
Gwangju/Junnam,2015,221572,3273358
Gyeonggnam,2015,135724,3285260
Ulsan,2015,94025,1142469
Jeju,2015,40676,587217
Seoul,2016,1008947,9834687
Busan,2016,205028,3388631
Daegu/GyungBook,2016,236917,5092303
Incheon,2016,161924,2914455
Gyeonggi,2016,205846,12519009
Gangwon,2016,149851,1511017
Chungbook,2016,89342,1566690
Daejon/Sejong/Chungnam,2016,239088,3865321
Jeonbuk,2016,116117,1800149
Gwangju/Junnam,2016,202125,3272021
Gyeonggnam,2016,127724,3296849
Ulsan,2016,87615,1146818
Jeju,2016,35806,593455
Seoul,2017,1015159,9776305
Busan,2017,215280,3428923
Daegu/GyungBook,2017,240804,5146365
Incheon,2017,163724,2923047
Gyeonggi,2017,211129,12809379
Gangwon,2017,154964,1520785
Chungbook,2017,95644,1605139
Daejon/Sejong/Chungnam,2017,242643,3954573
Jeonbuk,2017,114233,1829707
Gwangju/Junnam,2017,220279,3296933
Gyeonggnam,2017,130495,3355238
Ulsan,2017,86512,1165646
Jeju,2017,37804,634161
Seoul,2018,975868,9721190
Busan,2018,223730,3418011
Daegu/GyungBook,2018,246175,5141620
Incheon,2018,157493,2942005
Gyeonggi,2018,204183,12955219
Gangwon,2018,161359,1524406
Chungbook,2018,93808,1612881
Daejon/Sejong/Chungnam,2018,249417,4014115
Jeonbuk,2018,108594,1827551
Gwangju/Junnam,2018,206770,3294715
Gyeonggnam,2018,134719,3366480
Ulsan,2018,86890,1168150
Jeju,2018,34264,648913
Seoul,2019,900964,9729107
Busan,2019,213597,3413841
Daegu/GyungBook,2019,232482,5103867
Incheon,2019,158557,2957026
Gyeonggi,2019,211443,13239666
Gangwon,2019,153606,1541502
Chungbook,2019,94251,1600007
Daejon/Sejong/Chungnam,2019,249947,3939154
Jeonbuk,2019,108908,1818917
Gwangju/Junnam,2019,206614,3325213
Gyeonggnam,2019,132957,3362553
Ulsan,2019,91793,1148019
Jeju,2019,35973,670989
Seoul,2020,818973,9668465
Busan,2020,197340,3391946
Daegu/GyungBook,2020,196451,5057768
Incheon,2020,165203,2942828
Gyeonggi,2020,226280,13427014
Gangwon,2020,140670,1542840
Chungbook,2020,85748,1600837
Daejon/Sejong/Chungnam,2020,238871,3940742
Jeonbuk,2020,102770,1804104
Gwangju/Junnam,2020,183181,3301611
Gyeonggnam,2020,131089,3340216
Ulsan,2020,83152,1136017
Jeju,2020,41673,674635
Seoul,2021,799823,9509458
Busan,2021,194845,3350380
Daegu/GyungBook,2021,225446,5012021
Incheon,2021,166856,2948375
Gyeonggi,2021,226112,13565450
Gangwon,2021,134293,1538492
Chungbook,2021,84573,1597427
Daejon/Sejong/Chungnam,2021,233482,3943403
Jeonbuk,2021,102943,1786855
Gwangju/Junnam,2021,185340,3274414
Gyeonggnam,2021,124647,3314183
Ulsan,2021,84042,1121592
Jeju,2021,42035,676759
Seoul,2022,846646,9428372
Busan,2022,204250,3317812
Daegu/GyungBook,2022,225245,4964183
Incheon,2022,170777,2967314
Gyeonggi,2022,217008,13589432
Gangwon,2022,124866,1536498
Chungbook,2022,83820,1595058
Daejon/Sejong/Chungnam,2022,237169,3952700
Jeonbuk,2022,96992,1769607
Gwangju/Junnam,2022,189559,3248747
Gyeonggnam,2022,123250,3280493
Ulsan,2022,87677,1110663
Jeju,2022,41748,678159
Seoul,2023,920655,9386034
Busan,2023,205744,3293362
Daegu/GyungBook,2023,229754,4929284
Incheon,2023,176894,2997410
Gyeonggi,2023,225313,13630821
Gangwon,2023,132851,1527807
Chungbook,2023,85421,1593469
Daejon/Sejong/Chungnam,2023,234676,3958860
Jeonbuk,2023,100140,1754757
Gwangju/Junnam,2023,189103,3223454
Gyeonggnam,2023,129093,3251158
Ulsan,2023,99544,1103661
Jeju,2023,47103,675252
